step_id,sim_time_s,Vx_kmh,beta_deg,w_degps,delta1_deg,delta2_deg,delta3_deg,fb_deg,beta_int_deg,status
110,1.100000,19.699570,0.251251,5.614543,3.000000,0.067158,-1.214580,-0.157874,0.014247,OK
111,1.110000,19.694831,0.240649,6.420605,3.000000,0.067280,-1.209955,-0.152716,0.016653,OK
112,1.120000,19.690170,0.217130,7.204095,3.000000,0.067588,-1.197454,-0.139691,0.018824,OK
113,1.130000,19.685596,0.181653,7.954734,3.000000,0.068069,-1.177591,-0.119312,0.020641,OK
114,1.140000,19.681102,0.135946,8.665412,3.000000,0.068701,-1.151352,-0.092568,0.022000,OK
115,1.150000,19.676686,0.082162,9.330917,3.000000,0.069454,-1.119990,-0.060709,0.022822,OK
116,1.160000,19.672344,0.022797,9.947033,3.000000,0.070293,-1.084973,-0.025203,0.023050,OK
117,1.170000,19.668081,-0.039905,10.510211,3.000000,0.071187,-1.047633,0.012617,0.022651,OK
118,1.180000,19.663907,-0.103865,11.017651,3.000000,0.072106,-1.009207,0.051513,0.021612,OK
119,1.190000,19.659832,-0.166827,11.468590,3.000000,0.073018,-0.971054,0.090124,0.019944,OK
120,1.200000,19.655860,-0.226636,11.862413,3.000000,0.073893,-0.934483,0.127143,0.017678,OK
121,1.210000,19.651989,-0.281304,12.199055,3.000000,0.074701,-0.900711,0.161350,0.014865,OK
122,1.220000,19.648221,-0.329034,12.478930,3.000000,0.075417,-0.870853,0.191633,0.011574,OK
123,1.230000,19.644549,-0.368235,12.702660,3.000000,0.076016,-0.845905,0.216995,0.007892,OK
124,1.240000,19.640967,-0.397607,12.870962,3.000000,0.076479,-0.826697,0.236606,0.003916,OK
125,1.250000,19.637466,-0.416189,12.985500,3.000000,0.076792,-0.813861,0.249836,-0.000246,OK
126,1.260000,19.634035,-0.423516,13.049043,3.000000,0.076946,-0.807734,0.256350,-0.004481,OK
127,1.270000,19.630675,-0.419424,13.063680,3.000000,0.076937,-0.808470,0.255992,-0.008675,OK
128,1.280000,19.627386,-0.404044,13.032367,3.000000,0.076767,-0.816048,0.248785,-0.012716,OK
129,1.290000,19.624167,-0.378078,12.959411,3.000000,0.076444,-0.830100,0.235095,-0.016497,OK
130,1.300000,19.621020,-0.342833,12.849888,3.000000,0.075984,-0.849887,0.215662,-0.019925,OK
131,1.310000,19.617948,-0.299851,12.709082,3.000000,0.075410,-0.874524,0.191372,-0.022923,OK
132,1.320000,19.614952,-0.251113,12.543300,3.000000,0.074749,-0.902848,0.163385,-0.025435,OK
133,1.330000,19.612039,-0.198602,12.358476,3.000000,0.074028,-0.933690,0.132872,-0.027421,OK
134,1.340000,19.609206,-0.144311,12.160695,3.000000,0.073275,-0.965863,0.101018,-0.028864,OK
135,1.350000,19.606446,-0.090134,11.955708,3.000000,0.072518,-0.998229,0.068963,-0.029765,OK
136,1.360000,19.603747,-0.037768,11.748807,3.000000,0.071780,-1.029764,0.037732,-0.030143,OK
137,1.370000,19.601096,0.011359,11.544651,3.000000,0.071082,-1.059595,0.008199,-0.030029,OK
138,1.380000,19.598481,0.056102,11.347154,3.000000,0.070441,-1.087017,-0.018927,-0.029468,OK
139,1.390000,19.595887,0.095604,11.159464,3.000000,0.069870,-1.111488,-0.043106,-0.028512,OK
140,1.400000,19.593305,0.129228,10.984258,3.000000,0.069378,-1.132600,-0.063927,-0.027220,OK
141,1.410000,19.590722,0.156485,10.823674,3.000000,0.068973,-1.150028,-0.081064,-0.025655,OK
142,1.420000,19.588128,0.177214,10.678931,3.000000,0.068658,-1.163644,-0.094387,-0.023883,OK
143,1.430000,19.585517,0.191336,10.551344,3.000000,0.068435,-1.173368,-0.103817,-0.021969,OK
144,1.440000,19.582885,0.199050,10.441119,3.000000,0.068302,-1.179288,-0.109441,-0.019979,OK
145,1.450000,19.580228,0.200753,10.348205,3.000000,0.068255,-1.181613,-0.111466,-0.017971,OK
146,1.460000,19.577542,0.196974,10.272206,3.000000,0.068285,-1.180633,-0.110183,-0.016002,OK
147,1.470000,19.574825,0.188343,10.212485,3.000000,0.068385,-1.176703,-0.105947,-0.014118,OK
148,1.480000,19.572074,0.175569,10.168217,3.000000,0.068545,-1.170227,-0.099160,-0.012363,OK
149,1.490000,19.569288,0.159407,10.138416,3.000000,0.068756,-1.161640,-0.090260,-0.010768,OK
150,1.500000,19.566465,0.140634,10.121961,3.000000,0.069005,-1.151398,-0.079699,-0.009362,OK
151,1.510000,19.563607,0.120029,10.117622,3.000000,0.069283,-1.139957,-0.067936,-0.008162,OK
152,1.520000,19.560713,0.098351,10.124088,3.000000,0.069579,-1.127769,-0.055421,-0.007178,OK
153,1.530000,19.557787,0.076321,10.139986,3.000000,0.069882,-1.115263,-0.042585,-0.006415,OK
154,1.540000,19.554830,0.054604,10.163937,3.000000,0.070184,-1.102839,-0.029828,-0.005869,OK
155,1.550000,19.551846,0.033799,10.194521,3.000000,0.070475,-1.090861,-0.017514,-0.005531,OK
156,1.560000,19.548840,0.014443,10.230334,3.000000,0.070747,-1.079659,-0.005973,-0.005387,OK
157,1.570000,19.545812,-0.003016,10.270029,3.000000,0.070995,-1.069510,0.004518,-0.005417,OK
158,1.580000,19.542767,-0.018231,10.312335,3.000000,0.071213,-1.060633,0.013738,-0.005599,OK
159,1.590000,19.539706,-0.030971,10.356095,3.000000,0.071397,-1.053180,0.021537,-0.005909,OK
160,1.600000,19.536632,-0.041105,10.400194,3.000000,0.071546,-1.047241,0.027823,-0.006320,OK
161,1.610000,19.533547,-0.048607,10.443619,3.000000,0.071658,-1.042844,0.032567,-0.006806,OK
162,1.620000,19.530456,-0.053550,10.485461,3.000000,0.071734,-1.039960,0.035801,-0.007341,OK
163,1.630000,19.527362,-0.056089,10.524935,3.000000,0.071777,-1.038505,0.037605,-0.007902,OK
164,1.640000,19.524269,-0.056447,10.561398,3.000000,0.071789,-1.038357,0.038101,-0.008467,OK
165,1.650000,19.521181,-0.054889,10.594369,3.000000,0.071773,-1.039366,0.037441,-0.009016,OK
166,1.660000,19.518101,-0.051704,10.623527,3.000000,0.071734,-1.041366,0.035789,-0.009533,OK
167,1.670000,19.515033,-0.047186,10.648710,3.000000,0.071676,-1.044187,0.033314,-0.010005,OK
168,1.680000,19.511978,-0.041622,10.669902,3.000000,0.071602,-1.047662,0.030184,-0.010421,OK
169,1.690000,19.508936,-0.035285,10.687198,3.000000,0.071516,-1.051631,0.026558,-0.010774,OK
170,1.700000,19.505908,-0.028434,10.700783,3.000000,0.071422,-1.055941,0.022589,-0.011058,OK
171,1.710000,19.502892,-0.021311,10.710893,3.000000,0.071324,-1.060449,0.018422,-0.011271,OK
172,1.720000,19.499889,-0.014146,10.717802,3.000000,0.071224,-1.065016,0.014194,-0.011413,OK
173,1.730000,19.496896,-0.007155,10.721802,3.000000,0.071126,-1.069513,0.010035,-0.011484,OK
174,1.740000,19.493914,-0.000535,10.723196,3.000000,0.071032,-1.073819,0.006066,-0.011489,OK
175,1.750000,19.490942,0.005540,10.722301,3.000000,0.070945,-1.077827,0.002393,-0.011434,OK
176,1.760000,19.487980,0.010925,10.719438,3.000000,0.070867,-1.081447,-0.000892,-0.011325,OK
177,1.770000,19.485027,0.015508,10.714938,3.000000,0.070801,-1.084608,-0.003720,-0.011170,OK
178,1.780000,19.482083,0.019220,10.709133,3.000000,0.070746,-1.087263,-0.006043,-0.010978,OK
179,1.790000,19.479146,0.022027,10.702349,3.000000,0.070703,-1.089390,-0.007838,-0.010757,OK
180,1.800000,19.476215,0.023934,10.694887,3.000000,0.070673,-1.090984,-0.009102,-0.010518,OK
181,1.810000,19.473288,0.024978,10.687026,3.000000,0.070656,-1.092066,-0.009852,-0.010268,OK
182,1.820000,19.470365,0.025220,10.679004,3.000000,0.070649,-1.092667,-0.010124,-0.010016,OK
183,1.830000,19.467442,0.024744,10.671016,3.000000,0.070653,-1.092836,-0.009962,-0.009768,OK
184,1.840000,19.464520,0.023648,10.663206,3.000000,0.070666,-1.092627,-0.009423,-0.009532,OK
185,1.850000,19.461583,0.022042,10.655719,3.000000,0.070686,-1.092105,-0.008569,-0.009312,OK
186,1.860000,19.458636,0.020040,10.648625,3.000000,0.070712,-1.091337,-0.007469,-0.009111,OK
187,1.870000,19.455687,0.017761,10.641979,3.000000,0.070742,-1.090391,-0.006190,-0.008934,OK
188,1.880000,19.452740,0.015322,10.635846,3.000000,0.070775,-1.089337,-0.004803,-0.008780,OK
189,1.890000,19.449790,0.012837,10.630249,3.000000,0.070809,-1.088244,-0.003376,-0.008652,OK
