sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_3dof_deg,state_yaw_rate_3dof_degps,state_y_3dof_m,state_steer_delta_deg,state_x_m,state_y_m,state_xt_m,state_yt_m,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,case_id,case_name
24,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.018,39.9860262989774,-0.0593022852449478,-0.499257506933279,-0.000114107266392941,-1.88762399292762,-0.819289072930666,-6.50929197254465e-05,0.238919758568762,0,-0.0311958419437124,-0.360814147405867,MV-002,sine_steer_40kmh
25,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.0187370356721402,39.9855652706796,-0.0614761624347231,-0.512193412778518,-0.000123526634629078,-1.88701102408907,-0.808178774566698,-7.30663507204046e-05,0.250030905996728,0,-0.0338199661822309,-0.391838648799957,MV-002,sine_steer_40kmh
26,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.0187370356721404,39.9855652706796,-0.0614761624347238,-0.512193412778523,-0.000123526634629081,-1.88701102408907,-0.797068552662973,-8.1693552189214e-05,0.2611420257484,0,-0.0365070626747136,-0.42376109661145,MV-002,sine_steer_40kmh
27,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.0187370356721683,39.9855652706796,-0.0614761624348057,-0.512193412779009,-0.000123526634629444,-1.88701102408904,-0.785958408728908,-9.09928070157176e-05,0.27225311857095,0,-0.0392507739134431,-0.45653997113971,MV-002,sine_steer_40kmh
28,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.0187370356721685,39.9855652706796,-0.0614761624348064,-0.512193412779013,-0.000123526634629447,-1.88701102408904,-0.774848344441731,-0.00010098217380539,0.283364183802899,0,-0.0420440609769258,-0.490106058923617,MV-002,sine_steer_40kmh
29,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.019,39.9854013650002,-0.062247457702835,-0.51677437677326,-0.000126975272937292,-1.88679193332301,-0.763738361605812,-0.000111677798318032,0.29447521954871,0,-0.0448847600289199,-0.524501238925024,MV-002,sine_steer_40kmh
30,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.0192629643278314,39.9852377484269,-0.0630164930070926,-0.521338537863304,-0.000130470071819915,-1.88657263653584,-0.752628462169434,-0.000123097926117812,0.305586222794085,0,-0.0477691777066342,-0.559686139613634,MV-002,sine_steer_40kmh
31,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.0197888929834944,39.9849113423006,-0.064547805814848,-0.530419415846517,-0.00013759793376563,-1.88613342499386,-0.741518648162929,-0.000135258796493633,0.316697189610932,0,-0.0506937267155353,-0.595640669051554,MV-002,sine_steer_40kmh
32,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.02,39.9847806199144,-0.0651599459963569,-0.534047674615107,-0.000140510820852276,-1.88595689439215,-0.730408921675314,-0.000148176428443462,0.327808115315107,0,-0.0536548633653992,-0.632338339378467,MV-002,sine_steer_40kmh
33,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.021,39.9841635372006,-0.0680400461446619,-0.551116159951486,-0.000154710923748052,-1.88511887745358,-0.719299284826691,-0.000161866080743893,0.338918994620854,0,-0.0566490917711878,-0.669752618941547,MV-002,sine_steer_40kmh
34,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.022,39.9835496771241,-0.0708880298719446,-0.568012288208391,-0.000169572610578184,-1.88427788383059,-0.708189739744514,-0.000176342373608041,0.350029821781704,0,-0.0596729568068533,-0.707856973489182,MV-002,sine_steer_40kmh
35,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.023,39.9829386723614,-0.0737041484095562,-0.584763225693565,-0.000185092927627623,-1.88343391485113,-0.697080288542499,-0.000191619291143421,0.361140590717385,0,-0.0627230392784664,-0.746624877833482,MV-002,sine_steer_40kmh
36,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.024,39.9823302160193,-0.0764886357066949,-0.601391701398692,-0.000201268940149792,-1.88258697184786,-0.685970933302783,-0.000207710188158525,0.372251295125528,0,-0.0657959540053801,-0.786030067990333,MV-002,sine_steer_40kmh
37,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.025,39.981724051639,-0.0792417111411556,-0.617916721733768,-0.000218097733712523,-1.88173705615816,-0.674861676061131,-0.000224627805490185,0.383361928578274,0,-0.0688883498463217,-0.82604657566965,MV-002,sine_steer_40kmh
38,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.026,39.9811199648544,-0.0819635818081941,-0.634354170287624,-0.000235576415302687,-1.88088416912406,-0.663752518795231,-0.0002423842806583,0.394472484604077,0,-0.0719969032520846,-0.866650798189762,MV-002,sine_steer_40kmh
39,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.027,39.9805177764312,-0.0846544444531951,-0.650717311091472,-0.000253702114230818,-1.88002831209232,-0.652643463479325,-0.000260991159298861,0.405582956689463,0,-0.0751183468091925,-0.907827639155356,MV-002,sine_steer_40kmh
40,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.028,39.9799173364574,-0.0873144871036411,-0.667017210896267,-0.000272471982870062,-1.87916948641437,-0.641534511770241,-0.000280459424062114,0.416693338654658,0,-0.0782494324871752,-0.949552441012929,MV-002,sine_steer_40kmh
41,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.029,39.9793185194952,-0.0899438904472557,-0.683263093484236,-0.000291883197257984,-1.87830769344634,-0.630425665213292,-0.000300799475270663,0.427803624477486,0,-0.081386942649578,-0.991796149923428,MV-002,sine_steer_40kmh
42,2026年08月28日_16时02分22秒_第001次,2026-08-28T16:02:22,0.03,39.978721220534,-0.0925428289958968,-0.699462636943647,-0.000311932957584935,-1.87744293454903,-0.619316925416598,-0.000322021147728255,0.438913808143672,0,-0.0845277206661125,-1.03453353648614,MV-002,sine_steer_40kmh
