sample_index,run_number,timestamp_local_iso8601,sim_time_s,state_vehicle_speed_kmh,state_beta_trucksim_deg,state_yaw_rate_trucksim_degps,state_x_m,state_y_m,state_xt_m,state_yt_m,state_steer_delta_deg,case_id,case_name
2674,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.673,38.8682402629262,-0.268602098707876,14.6009001254984,27.8363047452894,3.2281060838219,28.8137028958429,0,3,MV-001,step_steer_30kmh
2675,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.674,38.8677370532326,-0.2685721820342,14.600736869367,27.8462853676713,3.23222375872246,28.823580124134,0,3,MV-001,step_steer_30kmh
2676,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.675,38.8672338479929,-0.268542215383762,14.6005739571335,27.8562648090476,3.23634392877773,28.8334561092978,0,3,MV-001,step_steer_30kmh
2677,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.676,38.8667306472697,-0.268512199632055,14.6004113748082,27.8662430688043,3.24046659363641,28.8433308507239,0,3,MV-001,step_steer_30kmh
2678,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.677,38.8662274511338,-0.268482135791642,14.6002491077426,27.8762201463279,3.24459175294695,28.8532043478016,0,3,MV-001,step_steer_30kmh
2679,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.678,38.8657242596635,-0.268452025008374,14.6000871406671,27.8861960410047,3.24871940635743,28.8630765999205,0,3,MV-001,step_steer_30kmh
2680,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.679,38.8652210729445,-0.268421868557347,14.599925457729,27.8961707522215,3.2528495535156,28.8729476064697,0,3,MV-001,step_steer_30kmh
2681,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.68,38.8647178910699,-0.268391667838497,14.5997640425322,27.9061442793652,3.25698219406883,28.8828173668389,0,3,MV-001,step_steer_30kmh
2682,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.681,38.8642147141395,-0.268361424371667,14.599602878178,27.9161166218227,3.26111732766407,28.8926858804174,0,3,MV-001,step_steer_30kmh
2683,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.682,38.8637115422598,-0.268331139791525,14.5994419473076,27.9260877789813,3.26525495394783,28.9025531465946,0,3,MV-001,step_steer_30kmh
2684,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.683,38.8632083755434,-0.268300815842019,14.5992812321443,27.9360577502284,3.26939507256617,28.9124191647602,0,3,MV-001,step_steer_30kmh
2685,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.684,38.8627052141091,-0.268270454370572,14.5991207145376,27.9460265349518,3.27353768316466,28.9222839343039,0,3,MV-001,step_steer_30kmh
2686,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.685,38.862202058081,-0.268240057321946,14.598960376008,27.9559941325394,3.27768278538836,28.9321474546154,0,3,MV-001,step_steer_30kmh
2687,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.686,38.8616989075887,-0.268209626731925,14.5988001977914,27.9659605423792,3.2818303788818,28.9420097250846,0,3,MV-001,step_steer_30kmh
2688,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.687,38.8611957627663,-0.268179164720625,14.5986401608854,27.9759257638598,3.28598046328896,28.9518707451016,0,3,MV-001,step_steer_30kmh
2689,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.688,38.8606926237526,-0.268148673485682,14.5984802460946,27.9858897963697,3.29013303825324,28.9617305140568,0,3,MV-001,step_steer_30kmh
2690,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.689,38.8601894906903,-0.26811815529517,14.5983204340775,27.995852639298,3.29428810341748,28.9715890313405,0,3,MV-001,step_steer_30kmh
2691,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.69,38.8596863637257,-0.268087612480384,14.5981607053919,28.0058142920338,3.29844565842388,28.9814462963434,0,3,MV-001,step_steer_30kmh
2692,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.691,38.8591832430086,-0.268057047428452,14.598001040542,28.0157747539666,3.30260570291404,28.9913023084565,0,3,MV-001,step_steer_30kmh
2693,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.692,38.8586801286912,-0.268026462574769,14.5978414200242,28.0257340244862,3.30676823652893,29.0011570670709,0,3,MV-001,step_steer_30kmh
2694,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.693,38.8581770209283,-0.267995860395437,14.5976818243729,28.0356921029827,3.31093325890886,29.011010571578,0,3,MV-001,step_steer_30kmh
2695,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.694,38.8576739198766,-0.267965243399474,14.5975222342062,28.0456489888464,3.31510076969349,29.0208628213697,0,3,MV-001,step_steer_30kmh
2696,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.695,38.8571708256941,-0.267934614121124,14.5973626302709,28.0556046814681,3.31927076852181,29.030713815838,0,3,MV-001,step_steer_30kmh
2697,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.696,38.8566677385402,-0.267903975111975,14.5972029934868,28.0655591802387,3.32344325503216,29.0405635543752,0,3,MV-001,step_steer_30kmh
2698,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.697,38.8561646585746,-0.267873328933269,14.5970433049908,28.0755124845495,3.32761822886217,29.0504120363741,0,3,MV-001,step_steer_30kmh
2699,2026年08月29日_18时22分14秒_第003次,2026-08-29T18:22:14,2.698,38.8556615859574,-0.267842678147966,14.5968835461793,28.0854645937921,3.3317956896488,29.0602592612276,0,3,MV-001,step_steer_30kmh
